"filename", "language", "YAML", "Ignore", "Python", "Markdown", "pip requirements", "Docker", "Makefile", "JavaScript", "JavaScript JSX", "HTML", "CSS", "JSON", "XML", "comment", "blank", "total"
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/.dockerignore", "Ignore", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 38
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 7, 21, 120
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/README.md", "Markdown", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 107
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 7, 8, 24
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendar_app/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendar_app/asgi.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendar_app/settings.py", "Python", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 42, 214
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendar_app/urls.py", "Python", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 59
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendar_app/wsgi.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendars/admin.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendars/apps.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendars/migrations/0001_initial.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 28
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendars/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendars/models.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendars/serializers.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/calendars/views.py", "Python", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30, 207
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/events/admin.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/events/apps.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/events/migrations/0001_initial.py", "Python", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 32
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/events/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/events/models.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/events/serializers.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/events/views.py", "Python", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 189
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/invitations/admin.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/invitations/apps.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/invitations/migrations/0001_initial.py", "Python", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 33
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/invitations/migrations/0002_alter_calendarinvite_calendar_and_more.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 28
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/invitations/migrations/0003_alter_calendarinvite_token.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/invitations/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/invitations/models.py", "Python", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
